Specification of landscape units
LU-ID[id]	No._of_TC[-]	TC1[id]	TC2[id]	TC3[id]	kfsu[mm/d]	length[m]	meandep[mm]	maxdep[mm]	Riverbed[mm]	gwflag[0/1]	gw_dist[mm]	frgw_delay[day]
1	3	1	2	3	10	487	-1	-1	2000	1	1000	23.21
2	3	4	5	6	10	2161	-1	-1	2000	1	1000	186.79
3	3	7	8	9	10	837.8	-1	-1	2000	1	1000	28.63
4	3	10	11	12	10	1877.2	-1	-1	2000	1	1000	137.99
5	3	13	14	15	10	893.5	-1	-1	2000	1	1000	50.31
6	3	16	17	18	10	1908.3	-1	-1	2000	1	1000	198.96
7	3	19	20	21	10	1296.5	-1	-1	2000	1	1000	64.92
8	3	22	23	24	10	845.5	-1	-1	2000	1	1000	30.75
10	3	28	29	30	10	1292.3	-1	-1	2000	1	1000	62.41
11	3	31	32	33	10	1723.3	-1	-1	2000	1	1000	26.56
12	3	34	35	36	10	1304.3	-1	-1	2000	1	1000	90.48
13	3	37	38	39	10	1731.4	-1	-1	2000	1	1000	22.68
14	3	40	41	42	10	1660.8	-1	-1	2000	1	1000	21.67
15	3	43	44	45	10	481.4	-1	-1	2000	1	1000	11.49
16	3	46	47	48	10	492	-1	-1	2000	1	1000	10.19
17	3	49	50	51	10	551.1	-1	-1	2000	1	1000	2.28
18	3	52	53	54	10	963	-1	-1	2000	1	1000	7.33
19	3	55	56	57	10	960.2	-1	-1	2000	1	1000	7.17
20	3	58	59	60	10	1036.9	-1	-1	2000	1	1000	9.68
21	3	61	62	63	10	1886.6	-1	-1	2000	1	1000	172.19
22	3	64	65	66	10	1865.5	-1	-1	2000	1	1000	119.81
23	3	67	68	69	10	1678	-1	-1	2000	1	1000	24.75
24	3	70	71	72	10	1635.4	-1	-1	2000	1	1000	24.97
25	3	73	74	75	10	1291	-1	-1	2000	1	1000	51.04
26	3	76	77	78	10	1303.5	-1	-1	2000	1	1000	68.61
27	3	79	80	81	10	848.5	-1	-1	2000	1	1000	26.36
28	3	82	83	84	10	488	-1	-1	2000	1	1000	10.9
29	3	85	86	87	10	1864.3	-1	-1	2000	1	1000	131.15
30	3	88	89	90	10	816	-1	-1	2000	1	1000	25.93
31	3	91	92	93	10	1846.1	-1	-1	2000	1	1000	118.71
32	3	94	95	96	10	911.3	-1	-1	2000	1	1000	42.74
33	3	97	98	99	10	1810.6	-1	-1	2000	1	1000	95.43
34	3	100	101	102	10	1280.3	-1	-1	2000	1	1000	54.27
35	3	103	104	105	10	484.3	-1	-1	2000	1	1000	10.05
36	3	106	107	108	10	484.6	-1	-1	2000	1	1000	21.55
37	3	109	110	111	10	1698.6	-1	-1	2000	1	1000	28.48
38	3	112	113	114	10	1298	-1	-1	2000	1	1000	47.85
39	3	115	116	117	10	1809	-1	-1	2000	1	1000	93.62
40	3	118	119	120	10	491.7	-1	-1	2000	1	1000	15.62
41	3	121	122	123	10	1808.6	-1	-1	2000	1	1000	324.14
42	3	124	125	126	10	494.5	-1	-1	2000	1	1000	9.23
43	3	127	128	129	10	817.8	-1	-1	2000	1	1000	23.88
44	3	130	131	132	10	1681.9	-1	-1	2000	1	1000	23.37
45	3	133	134	135	10	850.5	-1	-1	2000	1	1000	23.8
46	3	136	137	138	10	1283.2	-1	-1	2000	1	1000	47.64
47	3	139	140	141	10	1303.1	-1	-1	2000	1	1000	57.06
48	3	142	143	144	10	918.4	-1	-1	2000	1	1000	33.29
49	3	145	146	147	10	493.2	-1	-1	2000	1	1000	9.29
50	3	148	149	150	10	1659.4	-1	-1	2000	1	1000	22.7
51	3	151	152	153	10	1701	-1	-1	2000	1	1000	26.66
52	3	154	155	156	10	983.3	-1	-1	2000	1	1000	8.46
53	3	157	158	159	10	1650	-1	-1	2000	1	1000	306.88
54	3	160	161	162	10	977.7	-1	-1	2000	1	1000	7.49
55	3	163	164	165	10	992.2	-1	-1	2000	1	1000	8.49
56	3	166	167	168	10	558	-1	-1	2000	1	1000	2.35
58	3	172	173	174	10	1011.9	-1	-1	2000	1	1000	9.88
61	3	181	182	183	10	551.2	-1	-1	2000	1	1000	2.28
63	3	187	188	189	10	953.9	-1	-1	2000	1	1000	7.42
64	3	190	191	192	10	1007.3	-1	-1	2000	1	1000	9.14
65	3	193	194	195	10	552.9	-1	-1	2000	1	1000	2.25
66	3	196	197	198	10	585	-1	-1	2000	1	1000	2.04
67	3	199	200	201	10	574.6	-1	-1	2000	1	1000	2.37
68	3	202	203	204	10	540	-1	-1	2000	1	1000	2.35
