Specification of terrain components
TC-ID	fraction	slope[%]	position[-]
1	0.38235	4.51	3
2	0.17647	2.17	2
3	0.44118	0.8	1
4	0.14706	1.35	3
5	0.58824	0.92	2
6	0.26471	2.33	1
7	0.61765	2.37	3
8	0.17647	4.58	2
9	0.20588	5.59	1
10	0.14706	2.03	3
11	0.05882	1.52	2
12	0.79412	1.52	1
13	0.26471	4.32	3
14	0.23529	2.14	2
15	0.5	0.87	1
16	0.14706	2.87	3
17	0.23529	1.54	2
18	0.61765	0.55	1
19	0.14706	2.86	3
20	0.05882	2.66	2
21	0.79412	2.22	1
22	0.32353	3.53	3
23	0.52941	3.27	2
24	0.14706	2.37	1
28	0.14706	2.41	3
29	0.52941	1.53	2
30	0.32353	3.9	1
31	0.32353	13.71	3
32	0.17647	8.82	2
33	0.5	3.24	1
34	0.20588	3.76	3
35	0.23529	2.01	2
36	0.55882	0.79	1
37	0.55882	5.41	3
38	0.17647	11.61	2
39	0.26471	14.65	1
40	0.44118	9.16	3
41	0.29412	10.46	2
42	0.26471	7.09	1
43	0.20588	4.26	3
44	0.29412	6.03	2
45	0.5	4.5	1
46	0.61765	4.11	3
47	0.17647	7.26	2
48	0.20588	8.91	1
49	0.20588	19.23	3
50	0.52941	34.86	2
51	0.26471	22.42	1
52	0.55882	10.04	3
53	0.23529	20.44	2
54	0.20588	24.22	1
55	0.14706	11.45	3
56	0.58824	17.96	2
57	0.26471	13.05	1
58	0.38235	22.17	3
59	0.17647	12.67	2
60	0.44118	4.22	1
61	0.20588	2.97	3
62	0.17647	1.65	2
63	0.61765	0.62	1
64	0.14706	2.25	3
65	0.05882	1.81	2
66	0.79412	1.75	1
67	0.55882	4.64	3
68	0.17647	10.17	2
69	0.26471	13.48	1
70	0.44118	7.77	3
71	0.29412	9.03	2
72	0.26471	6.05	1
73	0.20588	3.44	3
74	0.05882	3.04	2
75	0.73529	2.83	1
76	0.20588	4.79	3
77	0.23529	2.79	2
78	0.55882	1.05	1
79	0.14706	3.22	3
80	0.17647	4.65	2
81	0.67647	3.67	1
82	0.20588	4.23	3
83	0.35294	6.38	2
84	0.44118	4.83	1
85	0.20588	3.67	3
86	0.17647	2.16	2
87	0.61765	0.86	1
88	0.61765	2.55	3
89	0.17647	5.08	2
90	0.20588	5.93	1
91	0.14706	1.84	3
92	0.58824	1.31	2
93	0.26471	2.96	1
94	0.26471	5.11	3
95	0.23529	2.76	2
96	0.5	1	1
97	0.14706	2.07	3
98	0.52941	1.54	2
99	0.32353	3.42	1
100	0.61765	1.83	3
101	0.17647	3.82	2
102	0.20588	4.68	1
103	0.61765	4.1	3
104	0.17647	7.4	2
105	0.20588	8.83	1
106	0.38235	4.92	3
107	0.17647	2.44	2
108	0.44118	0.74	1
109	0.32353	12.44	3
110	0.17647	8.12	2
111	0.5	3.08	1
112	0.08824	2.55	3
113	0.11765	4.42	2
114	0.79412	3.07	1
115	0.14706	2.62	3
116	0.05882	2.43	2
117	0.79412	2.19	1
118	0.38235	6.56	3
119	0.17647	3.47	2
120	0.44118	1.3	1
121	0.14706	2.12	3
122	0.11765	1.29	2
123	0.73529	0.26	1
124	0.20588	4.92	3
125	0.41176	7.65	2
126	0.38235	5.56	1
127	0.55882	2.66	3
128	0.23529	5.31	2
129	0.20588	6.23	1
130	0.55882	5.08	3
131	0.17647	11.12	2
132	0.26471	13.76	1
133	0.14706	3.38	3
134	0.17647	5.23	2
135	0.67647	4.1	1
136	0.67647	2.3	3
137	0.17647	4.9	2
138	0.14706	5.03	1
139	0.20588	5.48	3
140	0.23529	3.34	2
141	0.55882	1.37	1
142	0.32353	6.04	3
143	0.17647	3.33	2
144	0.5	1.39	1
145	0.55882	4.44	3
146	0.23529	7.64	2
147	0.20588	9.48	1
148	0.38235	8.42	3
149	0.41176	9.81	2
150	0.20588	6.4	1
151	0.26471	13.72	3
152	0.23529	8.97	2
153	0.5	3.49	1
154	0.14706	9.64	3
155	0.64706	15.8	2
156	0.20588	9.71	1
157	0.20588	1.77	3
158	0.23529	0.8	2
159	0.55882	0.14	1
160	0.5	9.53	3
161	0.17647	18.01	2
162	0.32353	22.8	1
163	0.55882	8.84	3
164	0.23529	18.31	2
165	0.20588	21.68	1
166	0.20588	14.14	3
167	0.52941	35.11	2
168	0.26471	24.12	1
172	0.38235	21.77	3
173	0.23529	10.83	2
174	0.38235	2.99	1
181	0.20588	15.48	3
182	0.52941	37.07	2
183	0.26471	20.78	1
187	0.14706	11.32	3
188	0.52941	17.43	2
189	0.32353	12.95	1
190	0.32353	22.95	3
191	0.29412	11.74	2
192	0.38235	5.37	1
193	0.26471	11.14	3
194	0.23529	26.61	2
195	0.5	39.27	1
196	0.26471	13.04	3
197	0.17647	30.75	2
198	0.55882	44.3	1
199	0.5	43.31	3
200	0.17647	20.4	2
201	0.32353	9.97	1
202	0.32353	7.36	3
203	0.41176	30.16	2
204	0.26471	46.07	1
