# Specification of total number of reservoirs in the size classes
Sub-basin-ID, acud[-] (five reservoir size classes)
11	15	8	3	3	3
86	15	8	3	3	3
12	15	8	3	3	3
10	15	8	3	3	3
87	15	8	3	3	3
85	15	8	3	3	3
9	15	8	3	3	3
83	15	8	3	3	3
82	15	8	3	3	3
80	15	8	3	3	3
79	15	8	3	3	3
75	15	8	3	3	3
74	15	8	3	3	3
88	15	8	3	3	3
81	15	8	3	3	3
73	15	8	3	3	3
13	15	8	3	3	3
78	15	8	3	3	3
71	15	8	3	3	3
76	15	8	3	3	3
66	15	8	3	3	3
65	15	8	3	3	3
15	15	8	3	3	3
93	15	8	3	3	3
92	15	8	3	3	3
91	15	8	3	3	3
69	15	8	3	3	3
16	15	8	3	3	3
90	15	8	3	3	3
94	15	8	3	3	3
63	15	8	3	3	3
61	15	8	3	3	3
60	15	8	3	3	3
59	15	8	3	3	3
51	15	8	3	3	3
50	15	8	3	3	3
48	15	8	3	3	3
58	15	8	3	3	3
55	15	8	3	3	3
49	15	8	3	3	3
46	15	8	3	3	3
44	15	8	3	3	3
95	15	8	3	3	3
56	15	8	3	3	3
45	15	8	3	3	3
40	15	8	3	3	3
96	15	8	3	3	3
41	15	8	3	3	3
97	15	8	3	3	3
52	15	8	3	3	3
98	15	8	3	3	3
37	15	8	3	3	3
35	15	8	3	3	3
99	15	8	3	3	3
36	15	8	3	3	3
4	15	8	3	3	3
100 15	8	3	3	3
33	15	8	3	3	3
101 15	8	3	3	3
32	15	8	3	3	3
30	15	8	3	3	3
31	15	8	3	3	3
28	15	8	3	3	3
26	15	8	3	3	3
25	15	8	3	3	3
105 15	8	3	3	3
104 15	8	3	3	3
103 15	8	3	3	3
3	15	8	3	3	3
106 15	8	3	3	3
19	15	8	3	3	3
2	15	8	3	3	3
107 15	8	3	3	3
18	15	8	3	3	3
1	15	8	3	3	3
500 15	8	3	3	3
