Specification of routing parameter
Subbasin-ID	lag time [d]	retention [d]
1	1.065	2.937
2	0.169	0.466
3	0.471	1.298
4	8.707	24.006
9	0.87	2.388
10	4.815	13.168
11	1.825	4.975
12	4.198	11.462
13	3.99	10.932
15	3.218	8.815
16	0.668	1.826
18	0.629	1.734
19	1.537	4.239
25	2.502	6.821
26	1.849	5.046
28	2.793	7.604
30	2.129	5.806
31	1.476	4.069
32	0.519	1.432
33	0.121	0.334
35	3.787	10.354
36	0.67	1.848
37	1.606	4.428
40	5.013	13.729
41	3.244	8.914
44	1.762	4.81
45	6.244	17.133
46	1.913	5.214
48	2.18	5.939
49	0.316	0.865
50	1.655	4.514
51	2.404	6.55
52	2.03	5.597
55	1.383	3.766
56	0.941	2.593
58	1.259	3.468
59	2.509	6.861
60	2.984	8.135
61	3.403	9.297
63	2.004	5.52
65	2.994	8.167
66	3.807	10.38
69	4.811	13.243
71	1.392	3.82
73	3.501	9.604
74	2.774	7.592
75	4.186	11.435
76	1.587	4.366
78	3.168	8.711
79	5.529	15.113
80	2.485	6.768
81	2.076	5.701
82	2.631	7.172
83	0.526	1.443
85	1.364	3.739
86	2.795	7.641
87	3.257	8.906
88	1.878	5.129
90	0.499	1.373
91	4.978	13.612
92	2.728	7.452
93	1.919	5.232
94	2.018	5.515
95	2.79	7.604
96	2.117	5.834
97	1.551	4.229
98	2.37	6.477
99	4.902	13.412
100	2.916	7.976
101	1.445	3.934
103	2.78	7.57
104	2.028	5.524
105	4.019	10.998
106	2.763	7.549
107	1.936	5.285
500	1	1
