pre-specified mean daily river flow [m3/s] for selected sub-basins (MAP-IDs)		
Date	Timestep	Subbasin-ID.
0	0	4	500
01012000	1	1614	1643
02012000	1	1625	1737
03012000	1	1861	2013
04012000	1	2185	1972
05012000	1	2146	2033
06012000	1	2196	1954
07012000	1	2206	1962
08012000	1	1992	1793
09012000	1	2038	1732
10012000	1	2312	1892
11012000	1	2339	1894
12012000	1	2293	1959
13012000	1	2271	1933
14012000	1	2399	2010
15012000	1	1988	1859
16012000	1	1867	1677
17012000	1	2350	1934
18012000	1	2440	2014
19012000	1	2396	2039
20012000	1	2439	2008
21012000	1	2322	2070
22012000	1	1879	1885
23012000	1	1823	1744
24012000	1	2061	1933
25012000	1	2094	1980
26012000	1	2121	2046
27012000	1	2132	2008
28012000	1	2073	2039
29012000	1	1898	1908
30012000	1	1854	1795
31012000	1	1934	2003
01022000	1	1934	2095
02022000	1	1944	2113
03022000	1	1910	2118
04022000	1	1934	2136
05022000	1	1824	1937
06022000	1	1785	1809
07022000	1	1998	2037
08022000	1	1970	2116
09022000	1	1963	2112
10022000	1	1999	2116
11022000	1	2014	2073
12022000	1	1819	1950
13022000	1	1780	1665
14022000	1	1994	1912
15022000	1	2043	2043
16022000	1	2065	2040
17022000	1	2048	2032
18022000	1	2052	2079
19022000	1	1770	1868
20022000	1	1714	1686
21022000	1	2085	1965
22022000	1	2063	2012
23022000	1	2042	1990
24022000	1	1944	1993
25022000	1	1769	2046
26022000	1	1647	1929
27022000	1	1428	1686
28022000	1	1751	2029
29022000	1	1741	2095
01032000	1	1767	2103
02032000	1	1809	2108
03032000	1	1736	2116
04032000	1	1457	1917
05032000	1	1429	1703
06032000	1	1446	1757
07032000	1	1434	1694
08032000	1	1785	1931
09032000	1	1948	2088
10032000	1	2183	2038
11032000	1	2046	1925
12032000	1	1858	1772
13032000	1	2340	2074
14032000	1	2332	2076
15032000	1	2245	2070
16032000	1	2260	2127
17032000	1	2053	2179
18032000	1	1429	2076
19032000	1	1414	1849
20032000	1	1976	2192
21032000	1	2321	2156
22032000	1	2247	2115
23032000	1	2323	2252
24032000	1	2320	2160
25032000	1	1710	1977
26032000	1	1516	1763
27032000	1	2007	2102
28032000	1	2287	2114
29032000	1	2292	2133
30032000	1	2415	2061
31032000	1	2321	2074
01042000	1	2223	1844
02042000	1	1872	1580
03042000	1	2584	2025
04042000	1	2563	2002
05042000	1	2524	2022
06042000	1	2612	2056
07042000	1	2611	2042
08042000	1	2255	1890
09042000	1	1855	1640
10042000	1	2531	1936
11042000	1	2443	2026
12042000	1	2483	2045
13042000	1	2616	2003
14042000	1	2559	1983
15042000	1	2188	1871
16042000	1	1897	1691
17042000	1	2542	2032
18042000	1	2572	2085
19042000	1	2490	2024
20042000	1	2543	1891
21042000	1	2092	1627
22042000	1	1882	1803
23042000	1	1834	1777
24042000	1	2431	2000
25042000	1	2455	2015
26042000	1	2549	1975
27042000	1	2547	2003
28042000	1	2495	2033
29042000	1	2155	1890
30042000	1	1893	1685
01052000	1	1904	1586
02052000	1	2392	1989
03052000	1	2391	2009
04052000	1	2052	2036
05052000	1	2117	1993
06052000	1	1828	1889
07052000	1	1829	1745
08052000	1	2169	2000
09052000	1	2198	2063
10052000	1	2310	2043
11052000	1	2333	1989
12052000	1	2272	1933
13052000	1	1842	1844
14052000	1	1869	1679
15052000	1	2229	1901
16052000	1	2218	1961
17052000	1	2253	1968
18052000	1	2226	2020
19052000	1	2246	2023
20052000	1	1802	1911
21052000	1	1747	1951
22052000	1	2226	1948
23052000	1	2248	1940
24052000	1	2263	1979
25052000	1	2195	1913
26052000	1	2275	1925
27052000	1	1872	1879
28052000	1	1734	1748
29052000	1	2248	1921
30052000	1	1975	1911
31052000	1	2144	1923
01062000	1	2055	1972
02062000	1	1993	1959
03062000	1	1947	1956
04062000	1	1781	1716
05062000	1	2072	1900
06062000	1	2148	1890
07062000	1	2022	1925
08062000	1	1908	1865
09062000	1	1681	1949
10062000	1	1574	1816
11062000	1	1512	1672
12062000	1	1868	1900
13062000	1	1978	1960
14062000	1	2098	1973
15062000	1	2081	1946
16062000	1	2094	1960
17062000	1	1670	1798
